




Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	mirtarbase_human_background.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	mirtarbase_human_background.txt - REFLIST (14675)	upload_1 (77)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of lipid transport (GO:0032369)	26	3	.14	+	21.99	3.31E-04	1.31E-02
negative regulation of lipid biosynthetic process (GO:0051055)	52	6	.27	+	21.99	2.88E-07	3.79E-05
response to epidermal growth factor (GO:0070849)	45	5	.24	+	21.18	3.62E-06	3.30E-04
DNA replication initiation (GO:0006270)	27	3	.14	+	21.18	3.71E-04	1.44E-02
positive regulation of vascular associated smooth muscle cell proliferation (GO:1904707)	37	4	.19	+	20.60	4.06E-05	2.40E-03
glandular epithelial cell development (GO:0002068)	28	3	.15	+	20.42	4.14E-04	1.58E-02
negative regulation of dephosphorylation (GO:0035305)	29	3	.15	+	19.72	4.60E-04	1.72E-02
response to angiotensin (GO:1990776)	39	4	.20	+	19.55	5.01E-05	2.87E-03
animal organ formation (GO:0048645)	39	4	.20	+	19.55	5.01E-05	2.86E-03
cellular response to angiotensin (GO:1904385)	30	3	.16	+	19.06	5.09E-04	1.84E-02
glandular epithelial cell differentiation (GO:0002067)	61	6	.32	+	18.75	7.56E-07	8.46E-05
cellular response to epidermal growth factor stimulus (GO:0071364)	41	4	.22	+	18.59	6.12E-05	3.41E-03
regulation of endothelial cell differentiation (GO:0045601)	31	3	.16	+	18.44	5.62E-04	2.00E-02
insulin-like growth factor receptor signaling pathway (GO:0048009)	31	3	.16	+	18.44	5.62E-04	1.99E-02
response to nicotine (GO:0035094)	42	4	.22	+	18.15	6.74E-05	3.69E-03
regulation of amyloid-beta formation (GO:1902003)	32	3	.17	+	17.87	6.17E-04	2.14E-02
positive regulation of neuron apoptotic process (GO:0043525)	64	6	.34	+	17.87	1.01E-06	1.10E-04
columnar/cuboidal epithelial cell development (GO:0002066)	43	4	.23	+	17.73	7.40E-05	4.01E-03
mammary gland morphogenesis (GO:0060443)	44	4	.23	+	17.33	8.11E-05	4.34E-03
positive regulation of heart growth (GO:0060421)	33	3	.17	+	17.33	6.77E-04	2.32E-02
negative regulation of osteoblast differentiation (GO:0045668)	44	4	.23	+	17.33	8.11E-05	4.33E-03
regulation of release of cytochrome c from mitochondria (GO:0090199)	44	4	.23	+	17.33	8.11E-05	4.31E-03
regulation of steroid biosynthetic process (GO:0050810)	66	6	.35	+	17.33	1.21E-06	1.28E-04
response to dsRNA (GO:0043331)	44	4	.23	+	17.33	8.11E-05	4.30E-03
regulation of DNA-templated DNA replication (GO:0090329)	45	4	.24	+	16.94	8.87E-05	4.66E-03
response to mineralocorticoid (GO:0051385)	35	3	.18	+	16.34	8.06E-04	2.65E-02
aortic valve morphogenesis (GO:0003180)	35	3	.18	+	16.34	8.06E-04	2.65E-02
regulation of chondrocyte differentiation (GO:0032330)	47	4	.25	+	16.22	1.05E-04	5.41E-03
hippocampus development (GO:0021766)	84	7	.44	+	15.88	2.72E-07	3.65E-05
regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	36	3	.19	+	15.88	8.76E-04	2.80E-02
cellular response to amyloid-beta (GO:1904646)	36	3	.19	+	15.88	8.76E-04	2.80E-02
peptidyl-threonine phosphorylation (GO:0018107)	49	4	.26	+	15.56	1.24E-04	6.28E-03
lung epithelium development (GO:0060428)	37	3	.19	+	15.45	9.49E-04	2.98E-02
positive regulation of protein import into nucleus (GO:0042307)	37	3	.19	+	15.45	9.49E-04	2.97E-02
regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803)	50	4	.26	+	15.25	1.34E-04	6.69E-03
limbic system development (GO:0021761)	113	9	.59	+	15.18	7.18E-09	1.72E-06
cell fate determination (GO:0001709)	38	3	.20	+	15.05	1.03E-03	3.14E-02
regulation of cell adhesion mediated by integrin (GO:0033628)	39	3	.20	+	14.66	1.11E-03	3.35E-02
regulation of amyloid precursor protein catabolic process (GO:1902991)	39	3	.20	+	14.66	1.11E-03	3.34E-02
endocardial cushion morphogenesis (GO:0003203)	39	3	.20	+	14.66	1.11E-03	3.33E-02
regulation of osteoblast differentiation (GO:0045667)	118	9	.62	+	14.54	1.05E-08	2.38E-06
positive regulation of protein binding (GO:0032092)	53	4	.28	+	14.38	1.69E-04	7.90E-03
heart valve morphogenesis (GO:0003179)	53	4	.28	+	14.38	1.69E-04	7.88E-03
T cell homeostasis (GO:0043029)	40	3	.21	+	14.29	1.19E-03	3.55E-02
aortic valve development (GO:0003176)	40	3	.21	+	14.29	1.19E-03	3.55E-02
regulation of erythrocyte differentiation (GO:0045646)	41	3	.22	+	13.95	1.28E-03	3.76E-02
Schwann cell development (GO:0014044)	41	3	.22	+	13.95	1.28E-03	3.75E-02
genitalia development (GO:0048806)	41	3	.22	+	13.95	1.28E-03	3.74E-02
embryonic digit morphogenesis (GO:0042733)	55	4	.29	+	13.86	1.95E-04	8.85E-03
regulation of muscle tissue development (GO:1901861)	42	3	.22	+	13.61	1.38E-03	3.94E-02
B cell receptor signaling pathway (GO:0050853)	42	3	.22	+	13.61	1.38E-03	3.93E-02
regulation of neuroblast proliferation (GO:1902692)	43	3	.23	+	13.30	1.47E-03	4.12E-02
regulation of steroid metabolic process (GO:0019218)	86	6	.45	+	13.30	5.77E-06	4.91E-04
semi-lunar valve development (GO:1905314)	43	3	.23	+	13.30	1.47E-03	4.12E-02
regulation of fibroblast proliferation (GO:0048145)	86	6	.45	+	13.30	5.77E-06	4.88E-04
T cell differentiation in thymus (GO:0033077)	58	4	.30	+	13.14	2.40E-04	1.05E-02
regulation of vascular associated smooth muscle cell proliferation (GO:1904705)	58	4	.30	+	13.14	2.40E-04	1.04E-02
positive regulation of nucleocytoplasmic transport (GO:0046824)	58	4	.30	+	13.14	2.40E-04	1.04E-02
leukocyte apoptotic process (GO:0071887)	44	3	.23	+	12.99	1.58E-03	4.34E-02
negative regulation of lipid localization (GO:1905953)	44	3	.23	+	12.99	1.58E-03	4.34E-02
positive regulation of organ growth (GO:0046622)	44	3	.23	+	12.99	1.58E-03	4.33E-02
positive regulation of miRNA metabolic process (GO:2000630)	59	4	.31	+	12.92	2.56E-04	1.10E-02
peptidyl-threonine modification (GO:0018210)	59	4	.31	+	12.92	2.56E-04	1.10E-02
negative regulation of lipid metabolic process (GO:0045833)	89	6	.47	+	12.85	7.04E-06	5.73E-04
negative regulation of epithelial cell differentiation (GO:0030857)	45	3	.24	+	12.71	1.68E-03	4.57E-02
response to amyloid-beta (GO:1904645)	45	3	.24	+	12.71	1.68E-03	4.56E-02
Schwann cell differentiation (GO:0014037)	46	3	.24	+	12.43	1.79E-03	4.71E-02
pallium development (GO:0021543)	170	11	.89	+	12.33	1.26E-09	4.07E-07
pancreas development (GO:0031016)	62	4	.33	+	12.30	3.10E-04	1.26E-02
adherens junction organization (GO:0034332)	47	3	.25	+	12.16	1.91E-03	4.97E-02
ERBB signaling pathway (GO:0038127)	63	4	.33	+	12.10	3.30E-04	1.32E-02
astrocyte differentiation (GO:0048708)	63	4	.33	+	12.10	3.30E-04	1.32E-02
regulation of cartilage development (GO:0061035)	63	4	.33	+	12.10	3.30E-04	1.32E-02
stem cell population maintenance (GO:0019827)	111	7	.58	+	12.02	1.82E-06	1.79E-04
positive regulation of osteoblast differentiation (GO:0045669)	64	4	.34	+	11.91	3.51E-04	1.38E-02
negative regulation of hemopoiesis (GO:1903707)	97	6	.51	+	11.79	1.16E-05	8.80E-04
positive regulation of smooth muscle cell proliferation (GO:0048661)	81	5	.43	+	11.76	6.55E-05	3.60E-03
negative regulation of T cell proliferation (GO:0042130)	65	4	.34	+	11.73	3.72E-04	1.44E-02
heart valve development (GO:0003170)	65	4	.34	+	11.73	3.72E-04	1.43E-02
maintenance of cell number (GO:0098727)	114	7	.60	+	11.70	2.18E-06	2.09E-04
epithelial to mesenchymal transition (GO:0001837)	82	5	.43	+	11.62	6.94E-05	3.77E-03
positive regulation of mitochondrion organization (GO:0010822)	67	4	.35	+	11.38	4.18E-04	1.58E-02
columnar/cuboidal epithelial cell differentiation (GO:0002065)	102	6	.54	+	11.21	1.55E-05	1.12E-03
roof of mouth development (GO:0060021)	85	5	.45	+	11.21	8.24E-05	4.35E-03
lens development in camera-type eye (GO:0002088)	68	4	.36	+	11.21	4.42E-04	1.66E-02
neural crest cell development (GO:0014032)	69	4	.36	+	11.05	4.68E-04	1.74E-02
canonical Wnt signaling pathway (GO:0060070)	104	6	.55	+	11.00	1.73E-05	1.21E-03
hair follicle development (GO:0001942)	70	4	.37	+	10.89	4.94E-04	1.82E-02
stem cell proliferation (GO:0072089)	71	4	.37	+	10.74	5.22E-04	1.88E-02
negative regulation of small molecule metabolic process (GO:0062014)	89	5	.47	+	10.71	1.03E-04	5.29E-03
regulation of neural precursor cell proliferation (GO:2000177)	90	5	.47	+	10.59	1.08E-04	5.54E-03
regulation of nucleocytoplasmic transport (GO:0046822)	108	6	.57	+	10.59	2.14E-05	1.41E-03
hair cycle process (GO:0022405)	72	4	.38	+	10.59	5.50E-04	1.97E-02
molting cycle process (GO:0022404)	72	4	.38	+	10.59	5.50E-04	1.96E-02
negative regulation of canonical Wnt signaling pathway (GO:0090090)	127	7	.67	+	10.50	4.48E-06	3.99E-04
diencephalon development (GO:0021536)	73	4	.38	+	10.44	5.80E-04	2.04E-02
DNA geometric change (GO:0032392)	74	4	.39	+	10.30	6.10E-04	2.13E-02
odontogenesis of dentin-containing tooth (GO:0042475)	74	4	.39	+	10.30	6.10E-04	2.13E-02
regulation of smooth muscle cell proliferation (GO:0048660)	130	7	.68	+	10.26	5.23E-06	4.47E-04
negative regulation of leukocyte differentiation (GO:1902106)	93	5	.49	+	10.25	1.26E-04	6.38E-03
stem cell development (GO:0048864)	75	4	.39	+	10.16	6.42E-04	2.21E-02
epithelial cell migration (GO:0010631)	94	5	.49	+	10.14	1.33E-04	6.64E-03
cerebral cortex development (GO:0021987)	114	6	.60	+	10.03	2.91E-05	1.84E-03
negative regulation of leukocyte cell-cell adhesion (GO:1903038)	115	6	.60	+	9.94	3.06E-05	1.88E-03
epithelium migration (GO:0090132)	96	5	.50	+	9.93	1.47E-04	7.10E-03
cellular response to alcohol (GO:0097306)	96	5	.50	+	9.93	1.47E-04	7.08E-03
lung development (GO:0030324)	174	9	.91	+	9.86	3.04E-07	3.94E-05
oligodendrocyte differentiation (GO:0048709)	78	4	.41	+	9.77	7.45E-04	2.51E-02
negative regulation of lymphocyte proliferation (GO:0050672)	78	4	.41	+	9.77	7.45E-04	2.51E-02
negative regulation of mononuclear cell proliferation (GO:0032945)	79	4	.41	+	9.65	7.81E-04	2.60E-02
regulation of stem cell proliferation (GO:0072091)	79	4	.41	+	9.65	7.81E-04	2.59E-02
respiratory tube development (GO:0030323)	178	9	.93	+	9.64	3.69E-07	4.65E-05
glial cell development (GO:0021782)	119	6	.62	+	9.61	3.71E-05	2.22E-03
regulation of protein binding (GO:0043393)	119	6	.62	+	9.61	3.71E-05	2.21E-03
mesenchymal cell differentiation (GO:0048762)	159	8	.83	+	9.59	1.78E-06	1.76E-04
respiratory system development (GO:0060541)	199	10	1.04	+	9.58	8.36E-08	1.41E-05
tissue migration (GO:0090130)	101	5	.53	+	9.43	1.87E-04	8.52E-03
hair cycle (GO:0042633)	81	4	.43	+	9.41	8.59E-04	2.78E-02
molting cycle (GO:0042303)	81	4	.43	+	9.41	8.59E-04	2.77E-02
negative regulation of autophagy (GO:0010507)	81	4	.43	+	9.41	8.59E-04	2.77E-02
glial cell differentiation (GO:0010001)	204	10	1.07	+	9.34	1.05E-07	1.69E-05
neural crest cell differentiation (GO:0014033)	82	4	.43	+	9.30	8.99E-04	2.85E-02
DNA conformation change (GO:0071103)	82	4	.43	+	9.30	8.99E-04	2.84E-02
telencephalon development (GO:0021537)	247	12	1.30	+	9.26	5.53E-09	1.44E-06
gland morphogenesis (GO:0022612)	103	5	.54	+	9.25	2.04E-04	9.14E-03
regulation of organ growth (GO:0046620)	83	4	.44	+	9.18	9.41E-04	2.96E-02
negative regulation of T cell activation (GO:0050868)	106	5	.56	+	8.99	2.34E-04	1.04E-02
extrinsic apoptotic signaling pathway (GO:0097191)	106	5	.56	+	8.99	2.34E-04	1.03E-02
regulation of miRNA metabolic process (GO:2000628)	85	4	.45	+	8.97	1.03E-03	3.14E-02
positive regulation of intracellular protein transport (GO:0090316)	85	4	.45	+	8.97	1.03E-03	3.13E-02
negative regulation of leukocyte proliferation (GO:0070664)	86	4	.45	+	8.86	1.07E-03	3.26E-02
negative regulation of cell development (GO:0010721)	238	11	1.25	+	8.81	4.22E-08	7.67E-06
epithelial cell development (GO:0002064)	174	8	.91	+	8.76	3.49E-06	3.20E-04
osteoblast differentiation (GO:0001649)	131	6	.69	+	8.73	6.37E-05	3.54E-03
regulation of lipid biosynthetic process (GO:0046890)	154	7	.81	+	8.66	1.59E-05	1.14E-03
positive regulation of binding (GO:0051099)	110	5	.58	+	8.66	2.78E-04	1.17E-02
response to tumor necrosis factor (GO:0034612)	177	8	.93	+	8.61	3.96E-06	3.59E-04
negative regulation of lymphocyte activation (GO:0051250)	133	6	.70	+	8.60	6.93E-05	3.78E-03
leukocyte homeostasis (GO:0001776)	89	4	.47	+	8.57	1.22E-03	3.61E-02
negative regulation of Wnt signaling pathway (GO:0030178)	157	7	.82	+	8.50	1.80E-05	1.25E-03
positive regulation of protein localization to nucleus (GO:1900182)	90	4	.47	+	8.47	1.27E-03	3.74E-02
regulation of epithelial cell apoptotic process (GO:1904035)	91	4	.48	+	8.38	1.33E-03	3.83E-02
negative regulation of extrinsic apoptotic signaling pathway (GO:2001237)	92	4	.48	+	8.29	1.38E-03	3.94E-02
epithelial cell proliferation (GO:0050673)	161	7	.84	+	8.29	2.12E-05	1.41E-03
mammary gland development (GO:0030879)	116	5	.61	+	8.21	3.55E-04	1.40E-02
embryonic limb morphogenesis (GO:0030326)	116	5	.61	+	8.21	3.55E-04	1.39E-02
embryonic appendage morphogenesis (GO:0035113)	116	5	.61	+	8.21	3.55E-04	1.39E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	236	10	1.24	+	8.08	4.09E-07	5.03E-05
peptidyl-serine phosphorylation (GO:0018105)	142	6	.75	+	8.05	9.96E-05	5.20E-03
regulation of Wnt signaling pathway (GO:0030111)	308	13	1.62	+	8.04	6.56E-09	1.60E-06
negative regulation of cell-cell adhesion (GO:0022408)	166	7	.87	+	8.04	2.58E-05	1.66E-03
pigmentation (GO:0043473)	95	4	.50	+	8.02	1.55E-03	4.31E-02
organ growth (GO:0035265)	95	4	.50	+	8.02	1.55E-03	4.30E-02
artery development (GO:0060840)	95	4	.50	+	8.02	1.55E-03	4.29E-02
tissue remodeling (GO:0048771)	96	4	.50	+	7.94	1.62E-03	4.41E-02
endocrine system development (GO:0035270)	120	5	.63	+	7.94	4.15E-04	1.58E-02
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	145	6	.76	+	7.89	1.12E-04	5.70E-03
mesenchyme development (GO:0060485)	219	9	1.15	+	7.83	2.09E-06	2.02E-04
antigen receptor-mediated signaling pathway (GO:0050851)	122	5	.64	+	7.81	4.48E-04	1.68E-02
negative regulation of cell activation (GO:0050866)	171	7	.90	+	7.80	3.12E-05	1.91E-03
skin epidermis development (GO:0098773)	98	4	.51	+	7.78	1.74E-03	4.63E-02
epithelial tube formation (GO:0072175)	124	5	.65	+	7.68	4.83E-04	1.78E-02
camera-type eye morphogenesis (GO:0048593)	124	5	.65	+	7.68	4.83E-04	1.78E-02
regulation of neuron differentiation (GO:0045664)	174	7	.91	+	7.67	3.49E-05	2.11E-03
peptidyl-serine modification (GO:0018209)	151	6	.79	+	7.57	1.40E-04	6.88E-03
negative regulation of leukocyte activation (GO:0002695)	151	6	.79	+	7.57	1.40E-04	6.86E-03
response to ionizing radiation (GO:0010212)	127	5	.67	+	7.50	5.39E-04	1.93E-02
cellular response to tumor necrosis factor (GO:0071356)	153	6	.80	+	7.47	1.50E-04	7.14E-03
ameboidal-type cell migration (GO:0001667)	179	7	.94	+	7.45	4.19E-05	2.45E-03
gliogenesis (GO:0042063)	257	10	1.35	+	7.42	8.92E-07	9.83E-05
negative regulation of neurogenesis (GO:0050768)	130	5	.68	+	7.33	5.99E-04	2.10E-02
forebrain development (GO:0030900)	364	14	1.91	+	7.33	5.30E-09	1.41E-06
positive regulation of autophagy (GO:0010508)	134	5	.70	+	7.11	6.87E-04	2.35E-02
response to reactive oxygen species (GO:0000302)	161	6	.84	+	7.10	1.98E-04	8.93E-03
negative regulation of nervous system development (GO:0051961)	135	5	.71	+	7.06	7.11E-04	2.42E-02
regulation of cytokine-mediated signaling pathway (GO:0001959)	136	5	.71	+	7.01	7.35E-04	2.49E-02
tube formation (GO:0035148)	136	5	.71	+	7.01	7.35E-04	2.49E-02
regulation of intracellular protein transport (GO:0033157)	137	5	.72	+	6.96	7.60E-04	2.54E-02
stem cell differentiation (GO:0048863)	165	6	.87	+	6.93	2.26E-04	1.01E-02
positive regulation of Wnt signaling pathway (GO:0030177)	138	5	.72	+	6.91	7.85E-04	2.60E-02
regulation of protein localization to nucleus (GO:1900180)	139	5	.73	+	6.86	8.11E-04	2.65E-02
regulation of neuron apoptotic process (GO:0043523)	223	8	1.17	+	6.84	2.14E-05	1.42E-03
regulation of angiogenesis (GO:0045765)	251	9	1.32	+	6.83	6.36E-06	5.26E-04
negative regulation of cell adhesion (GO:0007162)	252	9	1.32	+	6.81	6.56E-06	5.40E-04
negative regulation of apoptotic signaling pathway (GO:2001234)	225	8	1.18	+	6.78	2.29E-05	1.49E-03
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	169	6	.89	+	6.77	2.57E-04	1.10E-02
cellular response to steroid hormone stimulus (GO:0071383)	142	5	.75	+	6.71	8.93E-04	2.84E-02
regulation of mitochondrion organization (GO:0010821)	142	5	.75	+	6.71	8.93E-04	2.83E-02
regulation of vasculature development (GO:1901342)	257	9	1.35	+	6.67	7.69E-06	6.09E-04
cellular response to lipopolysaccharide (GO:0071222)	172	6	.90	+	6.65	2.83E-04	1.18E-02
limb morphogenesis (GO:0035108)	144	5	.76	+	6.62	9.51E-04	2.97E-02
appendage morphogenesis (GO:0035107)	144	5	.76	+	6.62	9.51E-04	2.97E-02
regulation of response to cytokine stimulus (GO:0060759)	147	5	.77	+	6.48	1.04E-03	3.17E-02
cellular response to biotic stimulus (GO:0071216)	206	7	1.08	+	6.48	1.02E-04	5.25E-03
eye morphogenesis (GO:0048592)	149	5	.78	+	6.40	1.11E-03	3.35E-02
cellular response to organic cyclic compound (GO:0071407)	419	14	2.20	+	6.37	3.14E-08	6.16E-06
cellular response to molecule of bacterial origin (GO:0071219)	181	6	.95	+	6.32	3.72E-04	1.44E-02
neural tube development (GO:0021915)	151	5	.79	+	6.31	1.18E-03	3.52E-02
response to transforming growth factor beta (GO:0071559)	152	5	.80	+	6.27	1.21E-03	3.59E-02
negative regulation of cell differentiation (GO:0045596)	580	19	3.04	+	6.24	9.76E-11	5.59E-08
cartilage development (GO:0051216)	154	5	.81	+	6.19	1.28E-03	3.74E-02
intrinsic apoptotic signaling pathway (GO:0097193)	155	5	.81	+	6.15	1.32E-03	3.83E-02
heart development (GO:0007507)	497	16	2.61	+	6.14	4.79E-09	1.32E-06
cellular response to radiation (GO:0071478)	156	5	.82	+	6.11	1.36E-03	3.92E-02
regulation of binding (GO:0051098)	219	7	1.15	+	6.09	1.49E-04	7.11E-03
regulation of T cell proliferation (GO:0042129)	158	5	.83	+	6.03	1.44E-03	4.08E-02
striated muscle cell differentiation (GO:0051146)	190	6	1.00	+	6.02	4.81E-04	1.78E-02
cellular response to abiotic stimulus (GO:0071214)	286	9	1.50	+	6.00	1.81E-05	1.25E-03
cellular response to environmental stimulus (GO:0104004)	286	9	1.50	+	6.00	1.81E-05	1.24E-03
regulation of autophagy (GO:0010506)	320	10	1.68	+	5.96	6.35E-06	5.28E-04
negative regulation of cellular catabolic process (GO:0031330)	192	6	1.01	+	5.96	5.09E-04	1.84E-02
apoptotic signaling pathway (GO:0097190)	289	9	1.52	+	5.94	1.96E-05	1.32E-03
regulation of leukocyte proliferation (GO:0070663)	225	7	1.18	+	5.93	1.76E-04	8.11E-03
cell fate commitment (GO:0045165)	228	7	1.20	+	5.85	1.90E-04	8.67E-03
protein phosphorylation (GO:0006468)	424	13	2.22	+	5.84	2.79E-07	3.70E-05
regulation of epithelial cell proliferation (GO:0050678)	329	10	1.73	+	5.79	8.11E-06	6.35E-04
response to growth factor (GO:0070848)	463	14	2.43	+	5.76	1.08E-07	1.72E-05
positive regulation of MAPK cascade (GO:0043410)	401	12	2.10	+	5.70	1.09E-06	1.18E-04
regulation of intracellular transport (GO:0032386)	236	7	1.24	+	5.65	2.35E-04	1.04E-02
regulation of lymphocyte proliferation (GO:0050670)	204	6	1.07	+	5.61	7.00E-04	2.39E-02
muscle cell differentiation (GO:0042692)	239	7	1.25	+	5.58	2.54E-04	1.10E-02
regulation of mononuclear cell proliferation (GO:0032944)	208	6	1.09	+	5.50	7.75E-04	2.58E-02
