target_gene	organism	mirna	Total context++ score
MED28	mouse	mir769	-0.026
SOGA1	mouse	mir769	-0.02
PKD2	mouse	mir769	-0.085
PAPOLG	mouse	mir769	-0.123
TMEM214	mouse	mir769	-0.085
MRC1	mouse	mir769	-0.217
NCAPH	mouse	mir769	-0.362
ACVR2A	mouse	mir769	-0.279
MYOG	mouse	mir769	-0.212
SCRN1	mouse	mir769	-0.057
SRGN	mouse	mir769	-0.233
RIF1	mouse	mir769	-0.071
ACVR1C	mouse	mir769	-0.107
SLC36A1	mouse	mir769	-0.341
KCNJ2	mouse	mir769	-0.11
UBE2C	mouse	mir769	-0.28
ATP5E	mouse	mir769	-0.118
PTGIS	mouse	mir769	-0.28
PAIP2B	mouse	mir769	-0.092
PACSIN1	mouse	mir769	-0.084
MSTO1	mouse	mir769	-0.216
EML2	mouse	mir769	-0.252
DSTN	mouse	mir769	-0.607
SLC35E2	mouse	mir769	-0.251
CCR7	mouse	mir769	-0.025
ELK1	mouse	mir769	-0.136
SIX1	mouse	mir769	-0.16
PIN1	mouse	mir769	-0.444
MON1B	mouse	mir769	-0.133
STRIP2	mouse	mir769	-0.157
LRRC4	mouse	mir769	-0.223
SMO	mouse	mir769	-0.156
ARHGAP22	mouse	mir769	-0.01
PIAS1	mouse	mir769	-0.179
IVD	mouse	mir769	-0.219
MYOD1	mouse	mir769	-0.359
ATP1B2	mouse	mir769	-0.113
FXR2	mouse	mir769	-0.062
KLF16	mouse	mir769	-0.257
CORO7	mouse	mir769	-0.07
NARFL	mouse	mir769	-0.141
KIAA1244	mouse	mir769	-0.067
KRT6B	mouse	mir769	-0.169
COLGALT1	mouse	mir769	-0.168
ACTN4	mouse	mir769	-0.02
PXDN	mouse	mir769	-0.066
NUMBL	mouse	mir769	-0.194
GRWD1	mouse	mir769	-0.211
TBC1D5	mouse	mir769	-0.053
PCDHAC1	mouse	mir769	-0.323
FLYWCH1	mouse	mir769	-0.157
PPP1R1B	mouse	mir769	-0.371
EMILIN2	mouse	mir769	-0.097
RRP8	mouse	mir769	-0.109
RAP1GAP2	mouse	mir769	-0.02
TRIM47	mouse	mir769	-0.286
ERAL1	mouse	mir769	-0.135
SLC39A11	mouse	mir769	-0.249
SUV420H2	mouse	mir769	-0.085
MACROD1	mouse	mir769	-0.531
CCDC134	mouse	mir769	-0.184
KRBA1	mouse	mir769	-0.139
BTG1	mouse	mir769	-0.192
TMTC1	mouse	mir769	-0.027
PMP2	mouse	mir769	-0.145
SBF2	mouse	mir769	-0.156
DUSP26	mouse	mir769	-0.276
CTIF	mouse	mir769	-0.02
MBD2	mouse	mir769	-0.117
CD180	mouse	mir769	-0.301
EDEM1	mouse	mir769	-0.03
CHL1	mouse	mir769	-0.094
KATNBL1	mouse	mir769	-0.148
SORT1	mouse	mir769	-0.02
DAGLA	mouse	mir769	-0.06
FADS2	mouse	mir769	-0.202
BACH2	mouse	mir769	-0.02
PHF21A	mouse	mir769	-0.01
NAT10	mouse	mir769	-0.104
EHF	mouse	mir769	-0.066
TMEM127	mouse	mir769	-0.361
ALDH1L2	mouse	mir769	-0.092
PLXNC1	mouse	mir769	-0.01
IGF2BP3	mouse	mir769	-0.045
KDELR2	mouse	mir769	-0.113
ACSBG1	mouse	mir769	-0.02
SRSF1	mouse	mir769	-0.277
TACO1	mouse	mir769	-0.127
BRIP1	mouse	mir769	-0.273
UGGT1	mouse	mir769	-0.01
GYPC	mouse	mir769	-0.114
RANBP6	mouse	mir769	-0.179
RNF38	mouse	mir769	-0.02
SIT1	mouse	mir769	-0.205
TTBK1	mouse	mir769	-0.107
SORL1	mouse	mir769	-0.072
RSL24D1	mouse	mir769	-0.434
TTLL7	mouse	mir769	-0.01
DNAJC13	mouse	mir769	-0.026
ITGAV	mouse	mir769	-0.129
WBP11	mouse	mir769	-0.148
TGDS	mouse	mir769	-0.154
C12orf49	mouse	mir769	-0.119
XYLT1	mouse	mir769	-0.01
NUAK1	mouse	mir769	-0.03
MRPS27	mouse	mir769	-0.163
UBE2K	mouse	mir769	-0.304
TBC1D1	mouse	mir769	-0.126
CASQ2	mouse	mir769	-0.182
POMT2	mouse	mir769	-0.055
MIB1	mouse	mir769	-0.031
TMEM260	mouse	mir769	-0.09
COX10	mouse	mir769	-0.129
RIMBP2	mouse	mir769	-0.045
MPP5	mouse	mir769	-0.184
CDH1	mouse	mir769	-0.232
AAGAB	mouse	mir769	-0.126
CCNT1	mouse	mir769	-0.063
NEO1	mouse	mir769	-0.107
LTBP2	mouse	mir769	-0.205
RBMS2	mouse	mir769	-0.161
IKZF4	mouse	mir769	-0.135
ANKRD12	mouse	mir769	-0.02
LPCAT2	mouse	mir769	-0.386
RPGRIP1L	mouse	mir769	-0.116
SMAD2	mouse	mir769	-0.483
MOB3B	mouse	mir769	-0.102
LMF1	mouse	mir769	-0.275
RAB11FIP3	mouse	mir769	-0.179
TRAF4	mouse	mir769	-0.068
DHX8	mouse	mir769	-0.173
FOXF1	mouse	mir769	-0.162
ERP44	mouse	mir769	-0.212
ZNF629	mouse	mir769	-0.122
RPS6KA6	mouse	mir769	-0.197
HACE1	mouse	mir769	-0.094
AGFG2	mouse	mir769	-0.078
TCF3	mouse	mir769	-0.216
SYP	mouse	mir769	-0.176
DESI1	mouse	mir769	-0.381
GRIN2D	mouse	mir769	-0.111
OPA3	mouse	mir769	-0.455
COMMD9	mouse	mir769	-0.01
LIFR	mouse	mir769	-0.154
PRKCG	mouse	mir769	-0.261
PALD1	mouse	mir769	-0.087
TFCP2L1	mouse	mir769	-0.076
PTPN4	mouse	mir769	-0.01
EPAS1	mouse	mir769	-0.153
ZNF106	mouse	mir769	-0.01
ABCB11	mouse	mir769	-0.054
SYT7	mouse	mir769	-0.126
OSBP	mouse	mir769	-0.259
CHMP3	mouse	mir769	-0.198
KDR	mouse	mir769	-0.078
DGKD	mouse	mir769	-0.03
POLQ	mouse	mir769	-0.139
ALS2	mouse	mir769	-0.111
SLAIN2	mouse	mir769	-0.092
GUCY1B3	mouse	mir769	-0.521
SLC30A9	mouse	mir769	-0.384
SHC2	mouse	mir769	-0.132
PHRF1	mouse	mir769	-0.125
RAPGEFL1	mouse	mir769	-0.01
SRCIN1	mouse	mir769	-0.02
MTRR	mouse	mir769	-0.138
NSUN2	mouse	mir769	-0.337
UFSP2	mouse	mir769	-0.257
KIF3C	mouse	mir769	-0.02
ITGA9	mouse	mir769	-0.091
TBC1D19	mouse	mir769	-0.112
ARSB	mouse	mir769	-0.066
PDE8B	mouse	mir769	-0.048
GRPEL1	mouse	mir769	-0.213
LMAN2L	mouse	mir769	-0.138
MRPL3	mouse	mir769	-0.063
MAP3K13	mouse	mir769	-0.076
RAI14	mouse	mir769	-0.166
SLC1A3	mouse	mir769	-0.092
ARRDC3	mouse	mir769	-0.202
XPO5	mouse	mir769	-0.18
APBA1	mouse	mir769	-0.023
KIAA1549L	mouse	mir769	-0.144
CDC14B	mouse	mir769	-0.33
RPS6KA2	mouse	mir769	-0.087
DUS4L	mouse	mir769	-0.32
ANLN	mouse	mir769	-0.533
EIF4H	mouse	mir769	-0.11
R3HCC1	mouse	mir769	-0.207
SH2D4A	mouse	mir769	-0.487
PDLIM2	mouse	mir769	-0.01
BRINP1	mouse	mir769	-0.19
IDE	mouse	mir769	-0.066
SFRP5	mouse	mir769	-0.155
TEF	mouse	mir769	-0.02
GABARAPL1	mouse	mir769	-0.153
ETNK1	mouse	mir769	-0.067
LLPH	mouse	mir769	-0.174
SLC15A4	mouse	mir769	-0.233
N4BP2L2	mouse	mir769	-0.108
VPS33A	mouse	mir769	-0.04
VPS37B	mouse	mir769	-0.093
SRRM4	mouse	mir769	-0.01
CBLN3	mouse	mir769	-0.278
PELI2	mouse	mir769	-0.01
ITPK1	mouse	mir769	-0.02
TTBK2	mouse	mir769	-0.02
IQGAP1	mouse	mir769	-0.101
NKD1	mouse	mir769	-0.136
ZCCHC14	mouse	mir769	-0.01
GFOD2	mouse	mir769	-0.144
RASL10B	mouse	mir769	-0.3
CLTC	mouse	mir769	-0.228
CDH2	mouse	mir769	-0.1
GALNT1	mouse	mir769	-0.157
FN3KRP	mouse	mir769	-0.267
CBX4	mouse	mir769	-0.078
PIP4K2B	mouse	mir769	-0.019
ARL5C	mouse	mir769	-0.128
SLC47A1	mouse	mir769	-0.186
C1orf216	mouse	mir769	-0.14
CELSR2	mouse	mir769	-0.01
CGN	mouse	mir769	-0.175
PLEKHA6	mouse	mir769	-0.029
CLEC4F	mouse	mir769	-0.202
C1QL2	mouse	mir769	-0.107
AMMECR1L	mouse	mir769	-0.048
KIAA1715	mouse	mir769	-0.108
MARCH4	mouse	mir769	-0.233
PNKD	mouse	mir769	-0.064
TCTA	mouse	mir769	-0.505
STXBP5L	mouse	mir769	-0.154
DDIT4L	mouse	mir769	-0.215
SETD7	mouse	mir769	-0.108
FEM1C	mouse	mir769	-0.198
ADAMTS19	mouse	mir769	-0.093
N4BP3	mouse	mir769	-0.044
PSD2	mouse	mir769	-0.082
MRS2	mouse	mir769	-0.16
KAAG1	mouse	mir769	-0.218
FGD2	mouse	mir769	-0.199
NFKBIE	mouse	mir769	-0.121
TMEM140	mouse	mir769	-0.246
FRMPD3	mouse	mir769	-0.065
MFHAS1	mouse	mir769	-0.182
DLC1	mouse	mir769	-0.037
DOCK5	mouse	mir769	-0.082
ERLIN2	mouse	mir769	-0.427
PROSER2	mouse	mir769	-0.322
LRRC4C	mouse	mir769	-0.189
ESAM	mouse	mir769	-0.222
AIP	mouse	mir769	-0.185
CTF1	mouse	mir769	-0.215
VEGFC	mouse	mir769	-0.056
TMEM86A	mouse	mir769	-0.073
ANK3	mouse	mir769	-0.03
FER	mouse	mir769	-0.01
CEP128	mouse	mir769	-0.166
VPS26B	mouse	mir769	-0.142
VWA8	mouse	mir769	-0.172
EPHA4	mouse	mir769	-0.1
PTH	mouse	mir769	-0.503
MARS2	mouse	mir769	-0.318
CCNO	mouse	mir769	-0.357
ADAMTS18	mouse	mir769	-0.229
RAB3C	mouse	mir769	-0.049
ITGB6	mouse	mir769	-0.11
RMND5A	mouse	mir769	-0.148
RPIA	mouse	mir769	-0.166
DGKE	mouse	mir769	-0.028
MSI2	mouse	mir769	-0.238
JPH3	mouse	mir769	-0.031
UBASH3B	mouse	mir769	-0.081
FAM105B	mouse	mir769	-0.111
WNT3A	mouse	mir769	-0.08
GPR26	mouse	mir769	-0.134
OLA1	mouse	mir769	-0.073
TMPRSS15	mouse	mir769	-0.22
WNT7A	mouse	mir769	-0.073
ANKRD40	mouse	mir769	-0.399
TMEM55A	mouse	mir769	-0.112
LRGUK	mouse	mir769	-0.079
CYP2C18	mouse	mir769	-0.255
GNAQ	mouse	mir769	-0.062
NAAA	mouse	mir769	-0.207
CXCL13	mouse	mir769	-0.244
BACH1	mouse	mir769	-0.046
UNC5D	mouse	mir769	-0.03
KNG1	mouse	mir769	-0.171
SLC6A1	mouse	mir769	-0.02
TIMP4	mouse	mir769	-0.02
THTPA	mouse	mir769	-0.077
CLEC18A	mouse	mir769	-0.341
DHRS1	mouse	mir769	-0.794
ERC2	mouse	mir769	-0.061
PREX2	mouse	mir769	-0.036
DUSP2	mouse	mir769	-0.141
PCDHAC2	mouse	mir769	-0.32
TSPAN33	mouse	mir769	-0.175
PPP1R9A	mouse	mir769	-0.146
ZNF276	mouse	mir769	-0.104
RAP1GAP	mouse	mir769	-0.01
WNT4	mouse	mir769	-0.285
ELMO2	mouse	mir769	-0.215
HOXB13	mouse	mir769	-0.074
SLC13A3	mouse	mir769	-0.117
ACTC1	mouse	mir769	-0.472
BTG2	mouse	mir769	-0.172
HK2	mouse	mir769	-0.03
AMFR	mouse	mir769	-0.085
TRIM62	mouse	mir769	-0.123
ADAR	mouse	mir769	-0.061
PAQR6	mouse	mir769	-0.298
NACC1	mouse	mir769	-0.106
ALKBH4	mouse	mir769	-0.327
DCUN1D1	mouse	mir769	-0.02
STAT5B	mouse	mir769	-0.02
NAGS	mouse	mir769	-0.125
FGF11	mouse	mir769	-0.255
TPCN2	mouse	mir769	-0.074
USP24	mouse	mir769	-0.032
DRAXIN	mouse	mir769	-0.149
OLFML2B	mouse	mir769	-0.15
NMNAT2	mouse	mir769	-0.02
LHCGR	mouse	mir769	-0.076
ARL5A	mouse	mir769	-0.144
FAM84A	mouse	mir769	-0.357
KCNIP3	mouse	mir769	-0.01
CHAC2	mouse	mir769	-0.601
RNF149	mouse	mir769	-0.125
CCNYL1	mouse	mir769	-0.03
FZD5	mouse	mir769	-0.013
FSTL1	mouse	mir769	-0.17
SLC4A7	mouse	mir769	-0.181
ABI2	mouse	mir769	-0.01
CDS1	mouse	mir769	-0.024
APBB2	mouse	mir769	-0.15
PPBP	mouse	mir769	-0.211
PF4	mouse	mir769	-0.227
CDCP1	mouse	mir769	-0.16
ARHGEF3	mouse	mir769	-0.01
MFI2	mouse	mir769	-0.107
EXO5	mouse	mir769	-0.135
PLXNB1	mouse	mir769	-0.01
BSN	mouse	mir769	-0.02
POC1A	mouse	mir769	-0.078
LMBRD2	mouse	mir769	-0.01
ANKRD33B	mouse	mir769	-0.02
WDR41	mouse	mir769	-0.097
SAP30L	mouse	mir769	-0.324
MYOZ3	mouse	mir769	-0.253
BMPER	mouse	mir769	-0.214
SHH	mouse	mir769	-0.117
SOX17	mouse	mir769	-0.171
TMEM184A	mouse	mir769	-0.038
GBX1	mouse	mir769	-0.119
RAD54B	mouse	mir769	-0.328
KIAA1161	mouse	mir769	-0.053
WBSCR27	mouse	mir769	-0.181
HDX	mouse	mir769	-0.141
SPTSSA	mouse	mir769	-0.612
PKNOX2	mouse	mir769	-0.124
ARF6	mouse	mir769	-0.165
JAKMIP3	mouse	mir769	-0.089
PPP1R36	mouse	mir769	-0.465
JAM3	mouse	mir769	-0.127
SVOP	mouse	mir769	-0.231
VPS35	mouse	mir769	-0.358
HIF1AN	mouse	mir769	-0.01
COX11	mouse	mir769	-0.164
TPP1	mouse	mir769	-0.223
TMX3	mouse	mir769	-0.203
HDGFRP3	mouse	mir769	-0.095
CLEC4D	mouse	mir769	-0.227
TMED3	mouse	mir769	-0.162
SLC9A5	mouse	mir769	-0.127
PPP1R16B	mouse	mir769	-0.03
POLR3E	mouse	mir769	-0.082
TVP23A	mouse	mir769	-0.125
LDHD	mouse	mir769	-0.192
CACNG2	mouse	mir769	-0.089
NYAP1	mouse	mir769	-0.02
TPM4	mouse	mir769	-0.301
SGK494	mouse	mir769	-0.102
SLC43A2	mouse	mir769	-0.01
TSR1	mouse	mir769	-0.251
TRPV3	mouse	mir769	-0.132
NDUFA7	mouse	mir769	-0.186
SPRYD3	mouse	mir769	-0.131
ABCA3	mouse	mir769	-0.094
VPS37C	mouse	mir769	-0.252
HNRNPUL2	mouse	mir769	-0.02
PYGO1	mouse	mir769	-0.01
PCSK9	mouse	mir769	-0.01
SDC2	mouse	mir769	-0.234
DDI1	mouse	mir769	-0.224
KIF5B	mouse	mir769	-0.158
PTGER4	mouse	mir769	-0.278
SF3B3	mouse	mir769	-0.101
MYRIP	mouse	mir769	-0.078
DESI2	mouse	mir769	-0.06
AURKC	mouse	mir769	-0.329
ACHE	mouse	mir769	-0.241
SEPSECS	mouse	mir769	-0.126
KCNK9	mouse	mir769	-0.204
FAM189A2	mouse	mir769	-0.13
EMB	mouse	mir769	-0.01
HCN1	mouse	mir769	-0.134
HIPK3	mouse	mir769	-0.072
BRD3	mouse	mir769	-0.025
BTD	mouse	mir769	-0.124
PRKCB	mouse	mir769	-0.031
ANTXR1	mouse	mir769	-0.02
GPRIN1	mouse	mir769	-0.228
AGAP1	mouse	mir769	-0.02
CPLX1	mouse	mir769	-0.117
RGL1	mouse	mir769	-0.15
PCNX	mouse	mir769	-0.02
LONRF3	mouse	mir769	-0.313
IL17D	mouse	mir769	-0.135
IRS1	mouse	mir769	-0.187
TACR1	mouse	mir769	-0.061
HDAC3	mouse	mir769	-0.222
TRIM35	mouse	mir769	-0.25
KIAA1024	mouse	mir769	-0.037
SEMA4C	mouse	mir769	-0.067
TBL2	mouse	mir769	-0.072
RNF187	mouse	mir769	-0.166
MGMT	mouse	mir769	-0.036
LRP8	mouse	mir769	-0.03
MLKL	mouse	mir769	-0.127
ATOH8	mouse	mir769	-0.107
HOXD4	mouse	mir769	-0.12
CEP120	mouse	mir769	-0.01
ADRA1B	mouse	mir769	-0.395
OTUD7A	mouse	mir769	-0.01
SPRR1B	mouse	mir769	-0.129
PCDHA10	mouse	mir769	-0.325
RASSF6	mouse	mir769	-0.054
AKNA	mouse	mir769	-0.068
ZBTB5	mouse	mir769	-0.064
JAGN1	mouse	mir769	-0.368
SEMA3E	mouse	mir769	-0.113
RPL15	mouse	mir769	-0.253
DLEC1	mouse	mir769	-0.187
MSRB3	mouse	mir769	-0.053
ATAD1	mouse	mir769	-0.151
LRRFIP1	mouse	mir769	-0.195
CCAR2	mouse	mir769	-0.157
ADRBK1	mouse	mir769	-0.051
MARCH3	mouse	mir769	-0.262
APITD1	mouse	mir769	-0.256
PPARGC1B	mouse	mir769	-0.03
KLRC4	mouse	mir769	-0.147
SH3RF3	mouse	mir769	-0.049
FAM134C	mouse	mir769	-0.235
SUSD5	mouse	mir769	-0.158
INHBC	mouse	mir769	-0.049
C4orf32	mouse	mir769	-0.08
MAL	mouse	mir769	-0.191
ARV1	mouse	mir769	-0.39
PDE8A	mouse	mir769	-0.107
SLC5A6	mouse	mir769	-0.097
C11orf45	mouse	mir769	-0.29
TBC1D16	mouse	mir769	-0.01
DMXL1	mouse	mir769	-0.042
PCSK1	mouse	mir769	-0.14
DENND6A	mouse	mir769	-0.098
DPYSL2	mouse	mir769	-0.163
TNS3	mouse	mir769	-0.056
WFIKKN2	mouse	mir769	-0.101
ANKS4B	mouse	mir769	-0.231
ADPGK	mouse	mir769	-0.097
COMMD1	mouse	mir769	-0.228
ZNF507	mouse	mir769	-0.071
TRIB1	mouse	mir769	-0.194
ARHGAP1	mouse	mir769	-0.082
PABPC5	mouse	mir769	-0.125
LSMEM1	mouse	mir769	-0.152
AGGF1	mouse	mir769	-0.064
KRI1	mouse	mir769	-0.427
PRCP	mouse	mir769	-0.054
SEC16A	mouse	mir769	-0.06
HOXD8	mouse	mir769	-0.176
CDK5R1	mouse	mir769	-0.281
CD6	mouse	mir769	-0.179
PITPNA	mouse	mir769	-0.19
ACAD10	mouse	mir769	-0.16
AL033381.1	mouse	mir769	-0.414
STAT2	mouse	mir769	-0.074
C9orf139	mouse	mir769	-0.161
CSRNP3	mouse	mir769	-0.01
ST8SIA5	mouse	mir769	-0.356
CHDH	mouse	mir769	-0.032
SPAST	mouse	mir769	-0.423
PLEKHF2	mouse	mir769	-0.159
LSM10	mouse	mir769	-0.466
MDH2	mouse	mir769	-0.341
TFE3	mouse	mir769	-0.223
HNF4A	mouse	mir769	-0.025
GCNT2	mouse	mir769	-0.157
EEF1A1	mouse	mir769	-0.22
LNX2	mouse	mir769	-0.132
LSMEM2	mouse	mir769	-0.222
DEF6	mouse	mir769	-0.379
SHMT1	mouse	mir769	-0.02
EFCAB11	mouse	mir769	-0.623
NCAM1	mouse	mir769	-0.039
TOLLIP	mouse	mir769	-0.202
RAB23	mouse	mir769	-0.089
ASB8	mouse	mir769	-0.225
IL1RAP	mouse	mir769	-0.178
FJX1	mouse	mir769	-0.1
VPS39	mouse	mir769	-0.05
IL11RA	mouse	mir769	-0.385
EDEM3	mouse	mir769	-0.13
GREM2	mouse	mir769	-0.281
EML4	mouse	mir769	-0.205
C8orf47	mouse	mir769	-0.269
DIP2A	mouse	mir769	-0.01
SWAP70	mouse	mir769	-0.085
ZBTB34	mouse	mir769	-0.115
LEPREL1	mouse	mir769	-0.12
MUC3A	mouse	mir769	-0.076
PDDC1	mouse	mir769	-0.144
FOXC2	mouse	mir769	-0.127
AMIGO3	mouse	mir769	-0.394
B3GALNT1	mouse	mir769	-0.198
ANO6	mouse	mir769	-0.026
PACS1	mouse	mir769	-0.025
BLOC1S4	mouse	mir769	-0.355
C9orf62	mouse	mir769	-0.165
KIF1C	mouse	mir769	-0.132
IGSF9B	mouse	mir769	-0.01
TMTC2	mouse	mir769	-0.102
SFXN1	mouse	mir769	-0.358
FKBP10	mouse	mir769	-0.169
GPR137C	mouse	mir769	-0.306
RBMXL1	mouse	mir769	-0.322
BPTF	mouse	mir769	-0.109
TSPYL5	mouse	mir769	-0.319
ZADH2	mouse	mir769	-0.072
GCNT4	mouse	mir769	-0.106
WDFY3	mouse	mir769	-0.02
PRMT10	mouse	mir769	-0.116
MAF1	mouse	mir769	-0.182
KCTD2	mouse	mir769	-0.074
POLR2A	mouse	mir769	-0.238
PLCD3	mouse	mir769	-0.074
KCNH5	mouse	mir769	-0.02
FOXJ1	mouse	mir769	-0.055
ZNRF2	mouse	mir769	-0.026
CLDN22	mouse	mir769	-0.402
SLC17A8	mouse	mir769	-0.169
SENP5	mouse	mir769	-0.02
TMEM45A	mouse	mir769	-0.192
SPEM1	mouse	mir769	-0.177
CYP2B6	mouse	mir769	-0.184
GLIS3	mouse	mir769	-0.02
DCUN1D3	mouse	mir769	-0.045
USP9X	mouse	mir769	-0.113
ANO5	mouse	mir769	-0.037
ARID1A	mouse	mir769	-0.076
HMGCS1	mouse	mir769	-0.093
ANGPT2	mouse	mir769	-0.101
MSC	mouse	mir769	-0.128
CEP57	mouse	mir769	-0.416
MLLT6	mouse	mir769	-0.211
KIAA0319L	mouse	mir769	-0.199
RAB11FIP4	mouse	mir769	-0.056
KIF15	mouse	mir769	-0.134
C1orf173	mouse	mir769	-0.154
ABLIM3	mouse	mir769	-0.05
ACAP2	mouse	mir769	-0.043
CHRNA3	mouse	mir769	-0.118
DCBLD2	mouse	mir769	-0.01
GSX2	mouse	mir769	-0.271
PSD3	mouse	mir769	-0.01
TIMM22	mouse	mir769	-0.167
SLC16A6	mouse	mir769	-0.163
KHDRBS1	mouse	mir769	-0.197
SMAD3	mouse	mir769	-0.188
C11orf87	mouse	mir769	-0.058
MIPOL1	mouse	mir769	-0.186
DZIP1L	mouse	mir769	-0.099
RASSF1	mouse	mir769	-0.139
PHF7	mouse	mir769	-0.291
GRID1	mouse	mir769	-0.136
GLUD2	mouse	mir769	-0.435
ZKSCAN2	mouse	mir769	-0.105
PAPPA	mouse	mir769	-0.073
COL7A1	mouse	mir769	-0.047
TTC7B	mouse	mir769	-0.16
COA5	mouse	mir769	-0.326
SDR42E1	mouse	mir769	-0.12
OAF	mouse	mir769	-0.305
CALN1	mouse	mir769	-0.054
NFAM1	mouse	mir769	-0.02
SPNS2	mouse	mir769	-0.093
ALX4	mouse	mir769	-0.132
GPR39	mouse	mir769	-0.176
C2CD2	mouse	mir769	-0.208
LPAR5	mouse	mir769	-0.199
IDH2	mouse	mir769	-0.24
LMLN	mouse	mir769	-0.02
CREB3L2	mouse	mir769	-0.049
RCAN2	mouse	mir769	-0.095
OPRM1	mouse	mir769	-0.115
MAPK11	mouse	mir769	-0.132
C12orf60	mouse	mir769	-0.449
SOX1	mouse	mir769	-0.021
PDGFB	mouse	mir769	-0.086
FBXW4	mouse	mir769	-0.206
MRC1L1	mouse	mir769	-0.217
PSMG1	mouse	mir769	-0.182
BGN	mouse	mir769	-0.165
TMEM106A	mouse	mir769	-0.097
PP13439	mouse	mir769	-0.109
SETD3	mouse	mir769	-0.15
ACSM5	mouse	mir769	-0.13
METTL7A	mouse	mir769	-0.187
SNAI3	mouse	mir769	-0.24
KRTAP11	mouse	mir769	-0.392
AADACL3	mouse	mir769	-0.226
XPOT	mouse	mir769	-0.263
ASB7	mouse	mir769	-0.146
COLEC10	mouse	mir769	-0.128
VSTM4	mouse	mir769	-0.073
IQCF2	mouse	mir769	-0.497
TRIM50	mouse	mir769	-0.153
ANKRD45	mouse	mir769	-0.02
BCDIN3D	mouse	mir769	-0.011
TAL2	mouse	mir769	-0.126
GPR125	mouse	mir769	-0.184
