dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
47	-3.1227079651887633	-0.013552026336281437	1.5281906292727276	-4.772113295386326	1.791759469228055	1.69e-05	glial cell differentiation	47. glial cell differentiation	['GO:0014037', 'GO:0010001', 'GO:0048709', 'GO:0060020', 'GO:0048708']	GO:0010001	0
48	0.007992962267699128	-2.979667459108684	1.4457102821117382	-4.764471553092451	1.3862943611198906	1.72e-05	response to growth factor	48. response to growth factor	['GO:0071559', 'GO:0070848', 'GO:0071363']	GO:0070848	0
49	2.3776621018286885	1.261758693981365	1.2652281329790063	-4.696803942579511	1.0986122886681098	2.01e-05	negative regulation of apoptotic process	49. negative regulation of apoptotic process	['GO:0043066', 'GO:0043069']	GO:0043066	0
50	0.7325284712488686	-3.3568687464127582	1.379840904641073	-4.686132779630847	1.3862943611198906	2.06e-05	cellular response to nitrogen compound	50. cellular response to nitrogen compound	['GO:0071732', 'GO:1901699', 'GO:0071417']	GO:1901699	0
51	-3.726492068088467	-0.007947896904107089	1.0532386314777376	-4.560667306169737	2.1972245773362196	2.75e-05	cell differentiation	51. cell differentiation	['GO:0001649', 'GO:0030154', 'GO:0048863', 'GO:0030182', 'GO:0048869', 'GO:0045165', 'GO:0001568', 'GO:0060840']	GO:0030154	0
52	-0.5692282511027168	-1.1100072685187559	1.3059816913928863	-4.560667306169737	1.3862943611198906	2.75e-05	cell population proliferation	52. cell population proliferation	['GO:0072089', 'GO:0008283', 'GO:0050673']	GO:0008283	0
53	-3.633130973141729	0.06770647863538996	1.0498955879120966	-4.548213564475709	2.833213344056216	2.83e-05	anatomical structure morphogenesis	53. anatomical structure morphogenesis	['GO:0071697', 'GO:0009653', 'GO:0002089', 'GO:0003179', 'GO:0003180', 'GO:0000902', 'GO:0009887', 'GO:0060439', 'GO:0042475', 'GO:0003007', 'GO:0035239', 'GO:0048598', 'GO:0048702', 'GO:0042733', 'GO:0030326', 'GO:0035113']	GO:0009653	0
54	0.6904770315823263	2.1913196648366027	1.3678766630096002	-4.530177984021837	1.3862943611198906	2.95e-05	positive regulation of cell migration	54. positive regulation of cell migration	['GO:0030335', 'GO:2000147', 'GO:0040017']	GO:0030335	0
55	-0.8925367515880602	-0.9960012611487173	1.1967890027888226	-4.511449283499555	1.6094379124341003	3.08e-05	apoptotic process	55. apoptotic process	['GO:0043276', 'GO:0006915', 'GO:0012501', 'GO:0008219']	GO:0006915	0
56	2.2022748434286252	1.2559925367309057	1.276566817561015	-4.508638306165727	1.3862943611198906	3.1e-05	negative regulation of transcription by RNA polymerase II	56. negative regulation of transcription by RNA polymerase II	['GO:0000122', 'GO:0045892', 'GO:0006357']	GO:0000122	0
57	-2.888374386580107	-0.3707496807068234	1.6238489724426537	-4.437707135543525	1.3862943611198906	3.65e-05	hippocampus development	57. hippocampus development	['GO:0021766', 'GO:0048856', 'GO:0071696']	GO:0021766	0
58	-0.695314931968825	-1.9934578929684583	0.6991636199473741	-4.431798275933005	1.0986122886681098	3.7e-05	protein phosphorylation	58. protein phosphorylation	['GO:0006468', 'GO:0016310']	GO:0006468	0
59	2.2657966395855014	0.37493794435139793	1.50935897784107	-4.421360790031928	1.0986122886681098	3.79e-05	negative regulation of lipid biosynthetic process	59. negative regulation of lipid biosynthetic process	['GO:0051055', 'GO:0045833']	GO:0051055	0
60	-2.813036899826729	-0.6191048038436386	1.7311390661542914	-4.3325470471100465	1.0986122886681098	4.65e-05	respiratory tube development	60. respiratory tube development	['GO:0030323', 'GO:0035295']	GO:0030323	0
61	1.3471060089943887	1.3813796815829675	0.9278248854239883	-4.301029995663981	2.0794415416798357	5e-05	regulation of cellular component organization	61. regulation of cellular component organization	['GO:0051130', 'GO:0051128', 'GO:0033043', 'GO:0001558', 'GO:0048638', 'GO:0040008', 'GO:0045927']	GO:0051128	0
62	1.1659889104091035	1.0792075278435558	1.0487892426466625	-4.22548303427145	1.791759469228055	5.95e-05	regulation of cell cycle	62. regulation of cell cycle	['GO:0045787', 'GO:0051726', 'GO:0045786', 'GO:0007346', 'GO:0010564']	GO:0051726	0
63	-0.2865084716392188	-1.2871392610669992	0.5319261375720391	-4.172630726946175	1.0986122886681098	6.72e-05	biological process involved in interspecies interaction between organisms	63. biological process involved in interspecies interaction between organisms	['GO:0044419', 'GO:0098542']	GO:0044419	0
64	1.0214357472021882	0.7670634854253098	1.3919863403514885	-4.119186407719209	1.0986122886681098	7.6e-05	regulation of DNA-templated DNA replication initiation	64. regulation of DNA-templated DNA replication initiation	['GO:0030174', 'GO:0090329']	GO:0030174	0
65	-3.0538812022429203	0.13279991886395523	1.5922626018534982	-4.0726296369609765	1.6094379124341003	8.46e-05	glandular epithelial cell differentiation	65. glandular epithelial cell differentiation	['GO:0090425', 'GO:0002067', 'GO:0002065', 'GO:0030855']	GO:0002067	0
66	0.2713096634933076	1.9112209093533252	1.6466566420963924	-3.958607314841775	1.0986122886681098	0.00011	positive regulation of neuron apoptotic process	66. positive regulation of neuron apoptotic process	['GO:0043525', 'GO:0043523']	GO:0043525	0
67	0.8188342029958725	2.6691077052425793	1.341613627367023	-3.9281179926938745	1.0986122886681098	0.000118	positive regulation of MAPK cascade	67. positive regulation of MAPK cascade	['GO:0043410', 'GO:0043408']	GO:0043410	0
68	1.7090502356989732	-0.13600327377995652	1.5722980815094458	-3.8927900303521317	1.0986122886681098	0.000128	regulation of steroid biosynthetic process	68. regulation of steroid biosynthetic process	['GO:0050810', 'GO:0019218']	GO:0050810	0
69	1.0749633033945962	1.0049214676407932	1.108976675915915	-3.85078088734462	1.0986122886681098	0.000141	regulation of cellular component biogenesis	69. regulation of cellular component biogenesis	['GO:2000810', 'GO:0044087']	GO:0044087	0
70	2.0066163658920266	-0.0639230987911789	1.797227174906415	-3.8477116556169433	1.791759469228055	0.000142	negative regulation of vitamin D biosynthetic process	70. negative regulation of vitamin D biosynthetic process	['GO:0010957', 'GO:0046137', 'GO:0060556', 'GO:0030656', 'GO:0062014']	GO:0010957	0
71	1.6217278054582023	1.5347391428708472	0.8653346728724705	-3.774690718274137	1.6094379124341003	0.000168	regulation of protein metabolic process	71. regulation of protein metabolic process	['GO:0031399', 'GO:0051246', 'GO:0031401', 'GO:0051171']	GO:0051246	0
72	-3.1047629464815527	0.04062756541970043	1.5335995666923248	-3.75448733218585	1.6094379124341003	0.000176	mesenchymal cell differentiation	72. mesenchymal cell differentiation	['GO:0001837', 'GO:0048762', 'GO:0003198', 'GO:0014033']	GO:0048762	0
73	-3.06308857440138	0.5921379701457101	1.5014715332130883	-3.7471469690201067	1.3862943611198906	0.000179	stem cell population maintenance	73. stem cell population maintenance	['GO:0097150', 'GO:0019827', 'GO:0098727']	GO:0019827	0
74	2.3026844559688935	2.348717684364979	0.2558244785735385	-3.7328282715969863	1.0986122886681098	0.000185	regulation of DNA-templated transcription	74. regulation of DNA-templated transcription	['GO:0006355', 'GO:2001141']	GO:0006355	0
75	-3.0148327917350133	-0.47282878859821076	1.5859578453514978	-3.694648630553376	1.0986122886681098	0.000202	mesenchyme development	75. mesenchyme development	['GO:0060485', 'GO:0009888']	GO:0060485	0
76	2.521312316363283	1.7057543634680874	0.8489643518355257	-3.6635402661514704	1.3862943611198906	0.000217	negative regulation of nitrogen compound metabolic process	76. negative regulation of nitrogen compound metabolic process	['GO:0051172', 'GO:0051253', 'GO:0045934']	GO:0051172	0
77	-3.344344526612888	0.11507705761940627	1.3342912369531759	-3.614393726401688	1.6094379124341003	0.000243	tissue morphogenesis	77. tissue morphogenesis	['GO:0060536', 'GO:0048729', 'GO:0003203', 'GO:0060562']	GO:0048729	0
78	1.291592562652675	0.74138025313943	1.2163621820974948	-3.614393726401688	2.1972245773362196	0.000243	regulation of cell adhesion	78. regulation of cell adhesion	['GO:0022407', 'GO:0030155', 'GO:1903037', 'GO:0045785', 'GO:0007162', 'GO:1903038', 'GO:0050868', 'GO:0022408']	GO:0030155	0
79	0.022344102881285983	-2.824292113406988	1.647882715846226	-3.4814860601221125	1.0986122886681098	0.00033	response to epidermal growth factor	79. response to epidermal growth factor	['GO:0070849', 'GO:0071364']	GO:0070849	0
80	0.5940735617822603	-2.9353870151276786	1.5463295523373441	-3.4449055514216806	1.0986122886681098	0.000359	response to tumor necrosis factor	80. response to tumor necrosis factor	['GO:0034612', 'GO:0071356']	GO:0034612	0
81	0.7674191366862414	-3.1825340342051858	1.2481171271149663	-3.400116927926312	1.0986122886681098	0.000398	response to nitrogen compound	81. response to nitrogen compound	['GO:1901698', 'GO:0010243']	GO:1901698	0
82	-1.3602025701478382	-1.7543149274364491	1.7949145379647522	-3.382999658879101	1.0986122886681098	0.000414	mammary gland involution	82. mammary gland involution	['GO:0060056', 'GO:0048771']	GO:0060056	0
83	2.7587700267826714	0.1317561449419683	1.6837415514576646	-3.378823718224965	1.0986122886681098	0.000418	negative regulation of chondrocyte differentiation	83. negative regulation of chondrocyte differentiation	['GO:0032331', 'GO:0061037']	GO:0032331	0
84	0.9080691369978776	0.5346312079543075	1.5522460542897687	-3.3496924768680634	1.6094379124341003	0.000447	regulation of smooth muscle cell proliferation	84. regulation of smooth muscle cell proliferation	['GO:0048661', 'GO:0048660', 'GO:1904707', 'GO:1904705']	GO:0048660	0
85	2.580016243319314	0.06003594326632649	1.4076986343737088	-3.2790142558462607	1.0986122886681098	0.000526	regulation of angiogenesis	85. regulation of angiogenesis	['GO:0045765', 'GO:1901342']	GO:0045765	0
86	1.2349491205762637	0.9172554410077165	1.302547299048441	-3.277366077466188	1.791759469228055	0.000528	regulation of autophagy	86. regulation of autophagy	['GO:0010508', 'GO:0010506', 'GO:0031329', 'GO:0009894', 'GO:0031331']	GO:0010506	0
87	2.7436587096957825	0.7957786645300484	1.2340430254054342	-3.2403321553103694	1.6094379124341003	0.000575	regulation of leukocyte activation	87. regulation of leukocyte activation	['GO:0002694', 'GO:0050865', 'GO:0051249', 'GO:0050863']	GO:0002694	0
88	1.4982008735410954	2.783999105179236	1.0129125846382314	-3.238072161579471	1.3862943611198906	0.000578	positive regulation of DNA-templated transcription	88. positive regulation of DNA-templated transcription	['GO:0045893', 'GO:1902680', 'GO:0051254']	GO:0045893	0
89	3.0666085237517713	0.4595066971875925	1.5503258903779034	-3.0555173278498313	1.0986122886681098	0.00088	negative regulation of hemopoiesis	89. negative regulation of hemopoiesis	['GO:1903707', 'GO:1902106']	GO:1903707	0
90	-0.8332060039727176	-1.6686962618534664	0.9943174333742668	-3.013676222949235	1.3862943611198906	0.000969	homeostatic process	90. homeostatic process	['GO:0019725', 'GO:0042592', 'GO:0048878']	GO:0042592	0
91	-3.093195476443646	0.6538383315736479	1.677700347943389	-3.0109953843014634	1.0986122886681098	0.000975	hair follicle morphogenesis	91. hair follicle morphogenesis	['GO:0031069', 'GO:0022405']	GO:0031069	0
92	-1.011679998395709	-1.2995818082407222	1.2776729753642382	-3.002613615602687	1.3862943611198906	0.000994	neuron projection development	92. neuron projection development	['GO:0031175', 'GO:0120036', 'GO:0030030']	GO:0031175	0
93	1.4709092444387137	0.9408173332177255	1.0146287514074281	-2.962573502059376	1.0986122886681098	0.00109	regulation of molecular function	93. regulation of molecular function	['GO:0065009', 'GO:0050790']	GO:0065009	0
94	1.8014012465112748	0.22836097556146745	1.3945901423795954	-2.9430951486635273	1.0986122886681098	0.00114	regulation of lipid biosynthetic process	94. regulation of lipid biosynthetic process	['GO:0046890', 'GO:0019216']	GO:0046890	0
95	0.19323932609603411	-2.422615718894328	1.3073888256642925	-2.9030899869919438	1.791759469228055	0.00125	cellular response to abiotic stimulus	95. cellular response to abiotic stimulus	['GO:0071478', 'GO:0071214', 'GO:0104004', 'GO:0009628', 'GO:0010212']	GO:0071214	0
96	-2.68071162785257	0.10318899335982742	1.7791472527425956	-2.87942606879415	1.0986122886681098	0.00132	epidermis morphogenesis	96. epidermis morphogenesis	['GO:0048730', 'GO:0002009']	GO:0048730	0
97	0.19360907577791842	1.3957734126177679	1.5365744444824756	-2.85078088734462	1.6094379124341003	0.00141	regulation of nucleocytoplasmic transport	97. regulation of nucleocytoplasmic transport	['GO:0046824', 'GO:0046822', 'GO:0042307', 'GO:0032386']	GO:0046822	0
98	1.461517484387828	0.1786774261169323	1.7554889423696434	-2.835647144215563	1.0986122886681098	0.00146	negative regulation of cell adhesion mediated by integrin	98. negative regulation of cell adhesion mediated by integrin	['GO:0033629', 'GO:0033628']	GO:0033629	0
99	2.207605518615111	1.610315660224772	1.4559610626770771	-2.826813731587726	1.791759469228055	0.00149	negative regulation of apoptotic signaling pathway	99. negative regulation of apoptotic signaling pathway	['GO:2001234', 'GO:2001233', 'GO:2001236', 'GO:2001237', 'GO:2001242']	GO:2001234	0
100	0.4930986236081118	0.5585135126314198	1.657499338312687	-2.7825160557860937	1.791759469228055	0.00165	extrinsic apoptotic signaling pathway in absence of ligand	100. extrinsic apoptotic signaling pathway in absence of ligand	['GO:0097192', 'GO:0038034', 'GO:0097191', 'GO:0097190', 'GO:0097193']	GO:0097192	0
101	-3.378857845726711	-0.19485730765923406	1.4304541431663644	-2.7375489102695707	1.0986122886681098	0.00183	neuron development	101. neuron development	['GO:0048666', 'GO:0030097']	GO:0048666	0
102	-0.027830298329180887	-2.3264056549069907	1.5394939090573196	-2.7351821769904636	1.0986122886681098	0.00184	double-strand break repair via break-induced replication	102. double-strand break repair via break-induced replication	['GO:0000727', 'GO:0006974']	GO:0000727	0
103	0.2948552921950929	-3.2943644848624922	1.7872067722490976	-2.7328282715969863	1.3862943611198906	0.00185	cellular response to mineralocorticoid stimulus	103. cellular response to mineralocorticoid stimulus	['GO:0071389', 'GO:0051385', 'GO:0071383']	GO:0071389	0
104	-0.6887759627825935	-1.257806354408932	-1.8009327231722578	-2.705533773838407	1.0986122886681098	0.00197	cellular process	104. cellular process	['GO:0044237', 'GO:0009987']	GO:0009987	0
105	0.5649656458230242	-3.366787188369799	1.4245713679463714	-2.692503962086787	1.0986122886681098	0.00203	cellular response to lipid	105. cellular response to lipid	['GO:0071396', 'GO:0033993']	GO:0071396	0
106	1.251053489009803	1.2436613939843575	1.1899610942488332	-2.677780705266081	1.3862943611198906	0.0021	regulation of phosphorylation	106. regulation of phosphorylation	['GO:0042325', 'GO:0001932', 'GO:0051174']	GO:0042325	0
107	0.7923368221918843	2.4919714301023923	1.333261957029274	-2.6655462488490693	1.0986122886681098	0.00216	positive regulation of apoptotic process	107. positive regulation of apoptotic process	['GO:0043065', 'GO:0043068']	GO:0043065	0
108	1.107076513827187	0.15344353126254065	1.4926128641539653	-2.6556077263148894	1.0986122886681098	0.00221	regulation of protein binding	108. regulation of protein binding	['GO:0043393', 'GO:0051098']	GO:0043393	0
109	-0.6547328384664721	-0.9997372698670097	1.4379759871540843	-2.6108339156354674	1.6094379124341003	0.00245	ameboidal-type cell migration	109. ameboidal-type cell migration	['GO:0010631', 'GO:0001667', 'GO:0016477', 'GO:0048870']	GO:0001667	0
110	-2.6328854446400642	-0.23687109803856043	1.6726246784238787	-2.543633966870957	1.6094379124341003	0.00286	animal organ formation	110. animal organ formation	['GO:0060440', 'GO:0048645', 'GO:0035148', 'GO:0072175']	GO:0048645	0
111	0.6396707513775797	-3.1523312318174925	1.771081831395527	-2.5421181032660076	1.0986122886681098	0.00287	response to angiotensin	111. response to angiotensin	['GO:1990776', 'GO:1904385']	GO:1990776	0
112	-2.7720615194911096	-0.59806293632978	1.7514307641735651	-2.469800301796918	1.3862943611198906	0.00339	nose development	112. nose development	['GO:0043584', 'GO:0007423', 'GO:0043010']	GO:0043584	0
113	1.1177153897913163	2.4290052448944035	1.2846892963488639	-2.444905551421681	1.9459101490553132	0.00359	positive regulation of phosphate metabolic process	113. positive regulation of phosphate metabolic process	['GO:0010562', 'GO:0045937', 'GO:0001934', 'GO:0042327', 'GO:0019220', 'GO:0035305']	GO:0045937	0
114	2.9062031995952697	0.6804634316552882	1.485369185460276	-2.4225082001627745	1.3862943611198906	0.00378	negative regulation of lymphocyte activation	114. negative regulation of lymphocyte activation	['GO:0051250', 'GO:0002695', 'GO:0050866']	GO:0051250	0
115	0.35257736319508604	0.7735724817253752	1.629127488082497	-2.3655227298392685	1.3862943611198906	0.00431	regulation of release of cytochrome c from mitochondria	115. regulation of release of cytochrome c from mitochondria	['GO:0090200', 'GO:0090199', 'GO:0010821']	GO:0090199	0
