Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0050793	GO:1903707	negative regulation of hemopoiesis	8.800e-04	0.000e+00	4.713e+00	1.936e-05
GO:0050793	GO:0051093	negative regulation of developmental process	3.710e-08	0.000e+00	3.579e+00	2.636e-04
GO:0050793	GO:0060284	regulation of cell development	5.010e-04	0.000e+00	3.723e+00	1.892e-04
GO:0050793	GO:0045667	regulation of osteoblast differentiation	2.380e-06	0.000e+00	4.635e+00	2.318e-05
GO:0050793	GO:0045595	regulation of cell differentiation	1.290e-05	0.000e+00	3.350e+00	4.466e-04
GO:0050793	GO:0032331	negative regulation of chondrocyte differentiation	4.180e-04	0.000e+00	5.386e+00	4.115e-06
GO:0050793	GO:0061037	negative regulation of cartilage development	9.700e-04	0.000e+00	5.280e+00	5.250e-06
GO:0050793	GO:0045765	regulation of angiogenesis	5.260e-04	0.000e+00	4.087e+00	8.193e-05
GO:0050793	GO:1901342	regulation of vasculature development	6.090e-04	0.000e+00	4.080e+00	8.327e-05
GO:0002376	GO:0002376	immune system process	3.440e-06	0.000e+00	2.571e+00	2.683e-03
GO:0051239	GO:0051241	negative regulation of multicellular organismal process	3.010e-08	0.000e+00	3.473e+00	3.368e-04
GO:0051239	GO:0051239	regulation of multicellular organismal process	6.930e-10	0.000e+00	2.794e+00	1.608e-03
GO:0051239	GO:0001817	regulation of cytokine production	1.210e-04	0.000e+00	3.518e+00	3.035e-04
GO:0051239	GO:2000026	regulation of multicellular organismal development	7.730e-06	0.000e+00	3.342e+00	4.555e-04
GO:0051239	GO:0051240	positive regulation of multicellular organismal process	6.100e-05	0.000e+00	3.128e+00	7.454e-04
GO:0042592	GO:0042592	homeostatic process	9.690e-04	0.000e+00	2.703e+00	1.982e-03
GO:0010604	GO:0010628	positive regulation of gene expression	5.380e-06	0.000e+00	2.809e+00	1.553e-03
GO:0010604	GO:0010604	positive regulation of macromolecule metabolic process	2.380e-09	0.000e+00	2.378e+00	4.185e-03
GO:0010604	GO:0009893	positive regulation of metabolic process	1.640e-08	0.000e+00	2.346e+00	4.508e-03
GO:0010604	GO:0051173	positive regulation of nitrogen compound metabolic process	1.390e-07	0.000e+00	2.529e+00	2.959e-03
GO:0010604	GO:0051247	positive regulation of protein metabolic process	6.770e-04	0.000e+00	3.049e+00	8.934e-04
GO:0010604	GO:0045935	positive regulation of nucleobase-containing compound metabolic process	1.190e-04	0.000e+00	2.690e+00	2.040e-03
GO:0051246	GO:0031399	regulation of protein modification process	6.470e-04	0.000e+00	3.136e+00	7.305e-04
GO:0051246	GO:0051246	regulation of protein metabolic process	1.680e-04	0.000e+00	2.376e+00	4.209e-03
GO:0051246	GO:0051171	regulation of nitrogen compound metabolic process	1.190e-07	0.000e+00	1.240e+00	5.758e-02
GO:0051246	GO:0009889	regulation of biosynthetic process	1.130e-08	0.000e+00	1.265e+00	5.437e-02
GO:0051246	GO:0031326	regulation of cellular biosynthetic process	2.440e-08	0.000e+00	1.265e+00	5.429e-02
GO:0051246	GO:0010556	regulation of macromolecule biosynthetic process	3.510e-08	0.000e+00	1.267e+00	5.408e-02
GO:0051128	GO:0051128	regulation of cellular component organization	5.000e-05	0.000e+00	2.529e+00	2.958e-03
GO:0051128	GO:0050789	regulation of biological process	2.370e-07	0.000e+00	9.379e-01	1.154e-01
GO:0048523	GO:0048523	negative regulation of cellular process	1.080e-09	0.000e+00	2.134e+00	7.352e-03
GO:0048523	GO:0031324	negative regulation of cellular metabolic process	3.520e-09	0.000e+00	2.345e+00	4.519e-03
GO:0048523	GO:0031327	negative regulation of cellular biosynthetic process	1.410e-06	0.000e+00	2.446e+00	3.577e-03
GO:0048523	GO:0048519	negative regulation of biological process	6.550e-09	0.000e+00	1.869e+00	1.351e-02
GO:0048523	GO:0009892	negative regulation of metabolic process	2.620e-08	0.000e+00	2.048e+00	8.962e-03
GO:0048523	GO:0051172	negative regulation of nitrogen compound metabolic process	2.170e-04	0.000e+00	2.337e+00	4.600e-03
GO:0048523	GO:0010558	negative regulation of macromolecule biosynthetic process	2.850e-06	0.000e+00	2.452e+00	3.529e-03
GO:0048523	GO:0000122	negative regulation of transcription by RNA polymerase II	3.100e-05	0.000e+00	3.584e+00	2.604e-04
GO:0048523	GO:0009890	negative regulation of biosynthetic process	1.510e-06	0.000e+00	2.444e+00	3.594e-03
GO:0048523	GO:0010605	negative regulation of macromolecule metabolic process	2.020e-06	0.000e+00	2.062e+00	8.675e-03
GO:0048523	GO:0010894	negative regulation of steroid biosynthetic process	1.430e-05	0.000e+00	5.221e+00	6.012e-06
GO:0048523	GO:0045939	negative regulation of steroid metabolic process	2.060e-05	0.000e+00	5.210e+00	6.167e-06
GO:0048523	GO:0050810	regulation of steroid biosynthetic process	1.280e-04	0.000e+00	4.818e+00	1.522e-05
GO:0048523	GO:0019218	regulation of steroid metabolic process	4.910e-04	0.000e+00	4.708e+00	1.957e-05
GO:0048523	GO:0051055	negative regulation of lipid biosynthetic process	3.790e-05	0.000e+00	4.524e+00	2.993e-05
GO:0048523	GO:0045833	negative regulation of lipid metabolic process	5.730e-04	0.000e+00	4.396e+00	4.014e-05
GO:0048522	GO:0048522	positive regulation of cellular process	9.190e-10	0.000e+00	2.265e+00	5.427e-03
GO:0048522	GO:0048518	positive regulation of biological process	1.160e-08	0.000e+00	2.105e+00	7.859e-03
GO:0048522	GO:0031328	positive regulation of cellular biosynthetic process	2.990e-09	0.000e+00	2.673e+00	2.123e-03
GO:0048522	GO:0010557	positive regulation of macromolecule biosynthetic process	4.250e-09	0.000e+00	2.678e+00	2.100e-03
GO:0048522	GO:0009891	positive regulation of biosynthetic process	3.400e-09	0.000e+00	2.669e+00	2.144e-03
GO:0048522	GO:0031325	positive regulation of cellular metabolic process	1.300e-08	0.000e+00	2.559e+00	2.762e-03
GO:0048522	GO:0045893	positive regulation of DNA-templated transcription	5.780e-04	0.000e+00	2.754e+00	1.764e-03
GO:0048522	GO:1902680	positive regulation of RNA biosynthetic process	5.910e-04	0.000e+00	2.753e+00	1.766e-03
GO:0048522	GO:0051254	positive regulation of RNA metabolic process	6.300e-04	0.000e+00	2.712e+00	1.943e-03
GO:0023052	GO:0023052	signaling	2.010e-06	0.000e+00	3.235e+00	5.821e-04
GO:0007154	GO:0007154	cell communication	6.310e-06	0.000e+00	2.476e+00	3.338e-03
GO:0050896	GO:0009605	response to external stimulus	2.750e-05	0.000e+00	1.999e+00	1.002e-02
GO:0050896	GO:0050896	response to stimulus	1.640e-08	0.000e+00	1.315e+00	4.838e-02
GO:0050896	GO:0006950	response to stress	1.560e-04	0.000e+00	1.452e+00	3.536e-02
GO:0050896	GO:0051716	cellular response to stimulus	1.940e-07	0.000e+00	1.513e+00	3.066e-02
GO:0050896	GO:0033554	cellular response to stress	5.920e-05	0.000e+00	1.536e+00	2.912e-02
GO:0050896	GO:0009607	response to biotic stimulus	1.670e-05	0.000e+00	2.149e+00	7.091e-03
GO:0050896	GO:0043207	response to external biotic stimulus	1.330e-04	0.000e+00	2.166e+00	6.822e-03
GO:0050896	GO:0051707	response to other organism	1.310e-04	0.000e+00	2.170e+00	6.754e-03
GO:0050896	GO:0071495	cellular response to endogenous stimulus	6.770e-06	0.000e+00	3.732e+00	1.852e-04
GO:0050896	GO:0009719	response to endogenous stimulus	3.590e-05	0.000e+00	3.376e+00	4.207e-04
GO:0050896	GO:0070848	response to growth factor	1.720e-05	0.000e+00	4.245e+00	5.690e-05
GO:0050896	GO:0070849	response to epidermal growth factor	3.300e-04	0.000e+00	5.196e+00	6.368e-06
GO:0050896	GO:0071363	cellular response to growth factor stimulus	2.430e-04	0.000e+00	4.278e+00	5.271e-05
GO:0050896	GO:0070887	cellular response to chemical stimulus	5.540e-08	0.000e+00	3.118e+00	7.623e-04
GO:0050896	GO:0071310	cellular response to organic substance	4.580e-05	0.000e+00	3.493e+00	3.212e-04
GO:0050896	GO:0042221	response to chemical	3.270e-07	0.000e+00	2.363e+00	4.335e-03
GO:0050896	GO:0071407	cellular response to organic cyclic compound	6.160e-06	0.000e+00	4.199e+00	6.327e-05
GO:0050896	GO:0014070	response to organic cyclic compound	5.670e-04	0.000e+00	3.803e+00	1.573e-04
GO:0050896	GO:1901699	cellular response to nitrogen compound	2.060e-05	0.000e+00	3.974e+00	1.061e-04
GO:0050896	GO:0071417	cellular response to organonitrogen compound	6.750e-04	0.000e+00	4.013e+00	9.712e-05
GO:0050896	GO:1901698	response to nitrogen compound	3.980e-04	0.000e+00	3.484e+00	3.283e-04
GO:0050896	GO:0034097	response to cytokine	1.580e-05	0.000e+00	3.950e+00	1.121e-04
GO:0050896	GO:0034612	response to tumor necrosis factor	3.590e-04	0.000e+00	4.694e+00	2.022e-05
GO:0050896	GO:0010033	response to organic substance	2.080e-05	0.000e+00	2.918e+00	1.208e-03
GO:0050896	GO:1901701	cellular response to oxygen-containing compound	7.840e-06	0.000e+00	3.664e+00	2.170e-04
GO:0050896	GO:1901700	response to oxygen-containing compound	3.810e-05	0.000e+00	3.244e+00	5.703e-04
GO:0032501	GO:0060056	mammary gland involution	4.140e-04	0.000e+00	6.019e+00	9.573e-07
GO:0032501	GO:0032501	multicellular organismal process	1.510e-05	0.000e+00	2.523e+00	2.996e-03
GO:0032501	GO:0019827	stem cell population maintenance	1.790e-04	0.000e+00	4.488e+00	3.249e-05
GO:0032501	GO:0098727	maintenance of cell number	2.090e-04	0.000e+00	4.474e+00	3.361e-05
